Amazon,,Apple,,Microsoft,
11/1/2019,89.572,11/1/2019,3/3/1900,11/1/2019,143.72
11/8/2019,89.294,11/8/2019,3/5/1900,11/8/2019,145.96
11/15/2019,86.975,11/15/2019,3/6/1900,11/15/2019,149.97
11/22/2019,87.286,11/22/2019,3/5/1900,11/22/2019,149.59
11/29/2019,90.04,11/29/2019,3/6/1900,11/29/2019,151.38
12/6/2019,87.58,12/6/2019,3/7/1900,12/6/2019,151.75
12/13/2019,88.047,12/13/2019,3/8/1900,12/13/2019,154.53
12/20/2019,89.325,12/20/2019,3/9/1900,12/20/2019,157.41
12/27/2019,93.49,12/27/2019,3/12/1900,12/27/2019,158.96
1/3/2020,93.749,1/3/2020,3/14/1900,1/3/2020,158.62
1/10/2020,94.158,1/10/2020,3/17/1900,1/10/2020,161.34
1/17/2020,93.236,1/17/2020,3/19/1900,1/17/2020,167.1
1/24/2020,93.082,1/24/2020,3/19/1900,1/24/2020,165.04
1/31/2020,100.436,1/31/2020,3/17/1900,1/31/2020,170.23
2/7/2020,103.964,2/7/2020,3/20/1900,2/7/2020,183.89
2/14/2020,106.744,2/14/2020,3/21/1900,2/14/2020,185.35
2/21/2020,104.798,2/21/2020,3/18/1900,2/21/2020,178.59
2/28/2020,94.188,2/28/2020,3/8/1900,2/28/2020,162.01
3/6/2020,95.054,3/6/2020,3/12/1900,3/6/2020,161.57
3/13/2020,89.25,3/13/2020,3/9/1900,3/13/2020,158.83
3/20/2020,92.304,3/20/2020,2/26/1900,3/20/2020,137.35
3/27/2020,95.005,3/27/2020,3/1/1900,3/27/2020,149.7
4/3/2020,95.33,4/3/2020,2/29/1900,4/3/2020,153.83
4/10/2020,102.138,4/10/2020,3/6/1900,4/10/2020,165.14
4/17/2020,118.75,4/17/2020,3/10/1900,4/17/2020,178.6
4/24/2020,120.511,4/24/2020,3/10/1900,4/24/2020,174.55
5/1/2020,114.302,5/1/2020,3/12/1900,5/1/2020,174.57
5/8/2020,118.981,5/8/2020,3/17/1900,5/8/2020,184.68
5/15/2020,120.489,5/15/2020,3/16/1900,5/15/2020,183.16
5/22/2020,121.844,5/22/2020,3/19/1900,5/22/2020,183.51
